Species.Name,AphiaID,Match type,ScientificName,Authority,Taxon status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
Prostoma obscurum,176304,exact,Prostoma obscurum,,unaccepted,122739,Cyanophthalma obscura,"(Schultze, 1851)",Animalia,Nemertea,Enopla,Monostilifera,Prostomatidae,Prostoma,,obscurum,
Protoceratium reticulatum,110321,exact,Protoceratium reticulatum,"(Claparède & Lachmann) Bütschli, 1885",accepted,110321,Protoceratium reticulatum,"(Claparède & Lachmann) Bütschli, 1885",Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Protoceratium,,reticulatum,
Protoperidinium,109553,exact,Protoperidinium,"Bergh, 1882",accepted,109553,Protoperidinium,"Bergh, 1882",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,,
Protoperidinium bipes,110208,exact,Protoperidinium bipes,"(Paulsen, 1904) Balech, 1974",accepted,110208,Protoperidinium bipes,"(Paulsen, 1904) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,bipes,
Protoperidinium brevipes,110210,exact,Protoperidinium brevipes,"(Paulsen, 1908) Balech, 1974",accepted,110210,Protoperidinium brevipes,"(Paulsen, 1908) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,brevipes,
Protoperidinium claudicans,163862,exact,Protoperidinium claudicans,"(Paulsen, 1907) Balech, 1974",accepted,163862,Protoperidinium claudicans,"(Paulsen, 1907) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,claudicans,
Protoperidinium conicum,110213,exact,Protoperidinium conicum,"(Gran, 1900) Balech, 1974",accepted,110213,Protoperidinium conicum,"(Gran, 1900) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,conicum,
Protoperidinium depressum,110217,exact,Protoperidinium depressum,"(Bailey, 1854) Balech, 1974",accepted,110217,Protoperidinium depressum,"(Bailey, 1854) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,depressum,
Protoperidinium diabolus,110218,exact,Protoperidinium diabolus,(Karsten) Balech,unaccepted,172460,Protoperidinium diabolum,"(Cleve, 1900) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,diabolus,
Protoperidinium divergens,110219,exact,Protoperidinium divergens,"(Ehrenberg, 1840) Balech, 1974",accepted,110219,Protoperidinium divergens,"(Ehrenberg, 1840) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,divergens,
Protoperidinium excentricum,110220,exact,Protoperidinium excentricum,"(Paulsen, 1907) Balech, 1974",accepted,110220,Protoperidinium excentricum,"(Paulsen, 1907) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,excentricum,
Protoperidinium globulus,232921,exact,Protoperidinium globulus,"(Stein, 1883) Balech, 1974",accepted,232921,Protoperidinium globulus,"(Stein, 1883) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,globulus,
Protoperidinium granii,110223,exact,Protoperidinium granii,"(Ostenfeld) Balech, 1974",accepted,110223,Protoperidinium granii,"(Ostenfeld) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,granii,
Protoperidinium longipes,233198,exact,Protoperidinium longipes,"Balech, 1974",accepted,233198,Protoperidinium longipes,"Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,longipes,
Protoperidinium marielebouriae,614620,exact,Protoperidinium marie-lebouriae,"(Paulsen, 1931) Balech, 1974",accepted,614620,Protoperidinium marie-lebouriae,"(Paulsen, 1931) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,marie-lebouriae,
Protoperidinium oblongum,110238,exact,Protoperidinium oblongum,"(Aurivillius) Parke & Dodge, 1976",accepted,110238,Protoperidinium oblongum,"(Aurivillius) Parke & Dodge, 1976",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,oblongum,
Protoperidinium obtusum,110239,exact,Protoperidinium obtusum,"(Karsten) Parke & Dodge, 1976",accepted,110239,Protoperidinium obtusum,"(Karsten) Parke & Dodge, 1976",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,obtusum,
Protoperidinium ovatum,110241,exact,Protoperidinium ovatum,"Pouchet, 1883",accepted,110241,Protoperidinium ovatum,"Pouchet, 1883",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,ovatum,
Protoperidinium pellucidum,110245,exact,Protoperidinium pellucidum,"Bergh, 1881",accepted,110245,Protoperidinium pellucidum,"Bergh, 1881",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,pellucidum,
Protoperidinium pentagonum,110247,exact,Protoperidinium pentagonum,"(Gran, 1902) Balech, 1974",accepted,110247,Protoperidinium pentagonum,"(Gran, 1902) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,pentagonum,
Protoperidinium steinii,110257,exact,Protoperidinium steinii,"(Jørgensen, 1899) Balech, 1974",accepted,110257,Protoperidinium steinii,"(Jørgensen, 1899) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,steinii,
Protoperidinium thorianum,110260,exact,Protoperidinium thorianum,"(Paulsen, 1905) Balech, 1974",accepted,110260,Protoperidinium thorianum,"(Paulsen, 1905) Balech, 1974",Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,,thorianum,
Prymnesiales,115061,exact,Prymnesiales,"Papenfuss, 1955",accepted,115061,Prymnesiales,"Papenfuss, 1955",Chromista,Haptophyta,Prymnesiophyceae,Prymnesiales,,,,,
Prymnesium,160563,exact,Prymnesium,"Massart, 1920",accepted,160563,Prymnesium,"Massart, 1920",Chromista,Haptophyta,Prymnesiophyceae,Prymnesiales,Prymnesiaceae,Prymnesium,,,
Psammoryctides barbatus,176517,exact,Psammoryctides barbatus,"(Grube, 1861)",accepted,176517,Psammoryctides barbatus,"(Grube, 1861)",Animalia,Annelida,Clitellata,Haplotaxida,Naididae,Psammoryctides,,barbatus,
Pseudanabaena,177588,exact,Pseudanabaena,"Lauterborn, 1915",accepted,177588,Pseudanabaena,"Lauterborn, 1915",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Pseudanabaena,,,
Pseudanabaena acicularis,577876,exact,Pseudanabaena acicularis,"(Nygaard) Anagnostidis & Komárek, 1988",accepted,577876,Pseudanabaena acicularis,"(Nygaard) Anagnostidis & Komárek, 1988",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Pseudanabaena,,acicularis,
Pseudanabaena galeata,609528,exact,Pseudanabaena galeata,"Böcher, 1949",accepted,609528,Pseudanabaena galeata,"Böcher, 1949",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Pseudanabaena,,galeata,
Pseudanabaena limnetica,177590,exact,Pseudanabaena limnetica,"(Lemmermann) Komárek, 1974",accepted,177590,Pseudanabaena limnetica,"(Lemmermann) Komárek, 1974",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Pseudanabaena,,limnetica,
Pseudocalanus,104165,exact,Pseudocalanus,"Boeck, 1872",accepted,104165,Pseudocalanus,"Boeck, 1872",Animalia,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,,,
Pseudonitzschia,717410,exact,Pseudonitzschia,"Yamaguti, 1965",accepted,717410,Pseudonitzschia,"Yamaguti, 1965",Animalia,Platyhelminthes,Monogenea,Capsalidea,Capsalidae,Pseudonitzschia,,,
Pseudonitzschia americana,960223,exact,Pseudonitzschia americana,"(Hasle) Fryxell in Hasle, 1993",alternate representation,573501,Nitzschia americana,"Hasle, 1964",Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudonitzschia,,americana,
Pseudonitzschia australis,958754,exact,Pseudonitzschia australis,"Frenguelli, 1939",uncertain,958754,Pseudonitzschia australis,"Frenguelli, 1939",Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudonitzschia,,australis,
Pseudonitzschia fraudulenta,960214,exact,Pseudonitzschia fraudulenta,"(P. T. Cleve) Hasle, 1993",alternate representation,246866,Nitzschia fraudulenta,"Cleve, 1897",Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudonitzschia,,fraudulenta,
Pseudonitzschia pungens,958800,exact,Pseudonitzschia pungens,"(Grunow in Cleve & Moller; Grunow ex Cleve) Hustedt, 1958",uncertain,958800,Pseudonitzschia pungens,"(Grunow in Cleve & Moller; Grunow ex Cleve) Hustedt, 1958",Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudonitzschia,,pungens,
Pseudopedinella,160599,exact,Pseudopedinella,"N.Carter, 1937",accepted,160599,Pseudopedinella,"N.Carter, 1937",Chromista,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellaceae,Pseudopedinella,,,
Pseudopedinella elastica,248149,exact,Pseudopedinella elastica,"Skuja, 1948",accepted,248149,Pseudopedinella elastica,"Skuja, 1948",Chromista,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellaceae,Pseudopedinella,,elastica,
Pseudopedinella thomsenii,388485,exact,Pseudopedinella thomsenii,"Sekiguchi, Kawachi, Nakayama & Inouye, 2003",accepted,388485,Pseudopedinella thomsenii,"Sekiguchi, Kawachi, Nakayama & Inouye, 2003",Chromista,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellaceae,Pseudopedinella,,thomsenii,
Pseudostaurosira brevistriata,175757,exact,Pseudostaurosira brevistriata,"(Grunow) D.M.Williams & Round, 1987",alternate representation,986024,Fragilaria brevistriata f. brevistriata,"Grunow in Van Heurck, 1885",Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pseudostaurosira,,brevistriata,
Pteroncola inane,622464,exact,Pteroncola inane,"(Giffen) F.E.Round, 1990",uncertain,622464,Pteroncola inane,"(Giffen) F.E.Round, 1990",Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Pteroncola,,inane,
Pterosperma parallelum,341609,exact,Pterosperma parallelum,"Gaardner, 1938",accepted,341609,Pterosperma parallelum,"Gaardner, 1938",Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,,parallelum,
Pterothamnion,143856,exact,Pterothamnion,"Nägeli, 1855",accepted,143856,Pterothamnion,"Nägeli, 1855",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Pterothamnion,,,
Pylaiella littoralis,157188,exact,Pylaiella littoralis,"(Linnaeus) Kjellman, 1872",accepted,157188,Pylaiella littoralis,"(Linnaeus) Kjellman, 1872",Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Acinetosporaceae,Pylaiella,,littoralis,
Pyramimonas,134529,exact,Pyramimonas,"Schmarda, 1849",accepted,134529,Pyramimonas,"Schmarda, 1849",Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,,,
Pyramimonas longicauda,160513,exact,Pyramimonas longicauda,"L.Van Meel, 1969",accepted,160513,Pyramimonas longicauda,"L.Van Meel, 1969",Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,,longicauda,
Pyramimonas virginica,134559,exact,Pyramimonas virginica,"Pennick, 1977",accepted,134559,Pyramimonas virginica,"Pennick, 1977",Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,,virginica,
Pyrocystis lunula,164053,exact,Pyrocystis lunula,"(Schütt) Schütt, 1896",accepted,164053,Pyrocystis lunula,"(Schütt) Schütt, 1896",Chromista,Myzozoa,Dinophyceae,Pyrocystales,Pyrocystaceae,Pyrocystis,,lunula,
Pyrocystis pseudonoctiluca,573782,exact,Pyrocystis pseudonoctiluca,"Wyville-Thompson, 1876",accepted,573782,Pyrocystis pseudonoctiluca,"Wyville-Thompson, 1876",Chromista,Myzozoa,Dinophyceae,Pyrocystales,Pyrocystaceae,Pyrocystis,,pseudonoctiluca,
Pyrophacus horologicum,110266,exact,Pyrophacus horologicum,"Stein, 1883",unaccepted,232598,Pyrophacus horologium,"Stein, 1883",Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Pyrophacaceae,Pyrophacus,,horologicum,
Quadrigula,178946,exact,Quadrigula,"Printz, 1916",accepted,178946,Quadrigula,"Printz, 1916",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Quadrigula,,,
Rangia cuneata,156991,exact,Rangia cuneata,"(G. B. Sowerby I, 1832)",accepted,156991,Rangia cuneata,"(G. B. Sowerby I, 1832)",Animalia,Mollusca,Bivalvia,,Mactridae,Rangia,,cuneata,
Rhabdonella,183576,exact,Rhabdonella,"Brandt, 1906",accepted,183576,Rhabdonella,"Brandt, 1906",Chromista,Ciliophora,Oligotrichea,Choreotrichida,Rhabdonellidae,Rhabdonella,,,
Rhabdonema arcuatum,157076,exact,Rhabdonema arcuatum,"(Lyngbye) Kützing, 1844",accepted,157076,Rhabdonema arcuatum,"(Lyngbye) Kützing, 1844",Chromista,Ochrophyta,Bacillariophyceae,Rhabdonematales,Rhabdonemataceae,Rhabdonema,,arcuatum,
Rhaphoneis amphiceros,149066,exact,Rhaphoneis amphiceros,"(Ehrenberg) Ehrenberg, 1844",accepted,149066,Rhaphoneis amphiceros,"(Ehrenberg) Ehrenberg, 1844",Chromista,Ochrophyta,Bacillariophyceae,Rhaponeidales,Rhaphoneidaceae,Rhaphoneis,,amphiceros,
Rhithropanopeus harrisii,107414,exact,Rhithropanopeus harrisii,"(Gould, 1841)",accepted,107414,Rhithropanopeus harrisii,"(Gould, 1841)",Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Rhithropanopeus,,harrisii,
Rhizoclonium riparium,145075,exact,Rhizoclonium riparium,"(Roth) Harvey, 1849",accepted,145075,Rhizoclonium riparium,"(Roth) Harvey, 1849",Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Rhizoclonium,,riparium,
Rhizosolenia bergonii,196811,exact,Rhizosolenia bergonii,"H.Peragallo, 1892",accepted,196811,Rhizosolenia bergonii,"H.Peragallo, 1892",Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,,bergonii,
Rhizosolenia hebetata f. semispina,149071,exact,Rhizosolenia hebetata f. semispina,"(Hensen) Gran, 1908",alternate representation,163348,Rhizosolenia semispina,"Hensen, 1887",Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,,hebetata,
Rhizosolenia imbricata var. minuta,972804,exact,Rhizosolenia imbricata var. minuta,"Rivera, 1974",uncertain,972804,Rhizosolenia imbricata var. minuta,"Rivera, 1974",Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,,imbricata,
Rhizosolenia indica,231887,exact,Rhizosolenia indica,"H.Peragallo, 1892",uncertain,231887,Rhizosolenia indica,"H.Peragallo, 1892",Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,,indica,
Rhizosolenia pungens,149117,exact,Rhizosolenia pungens,"Cleve-Euler, 1937",uncertain,149117,Rhizosolenia pungens,"Cleve-Euler, 1937",Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,,pungens,
Rhizosolenia setigera,149115,exact,Rhizosolenia setigera,"Brightwell, 1858",accepted,149115,Rhizosolenia setigera,"Brightwell, 1858",Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,,setigera,
Rhodophyta,852,exact,Rhodophyta,"Wettstein, 1901",accepted,852,Rhodophyta,"Wettstein, 1901",Plantae,Rhodophyta,,,,,,,
Rhoicosphenia abbreviata,175794,exact,Rhoicosphenia abbreviata,"(C.Agardh) Lange-Bertalot, 1980",accepted,175794,Rhoicosphenia abbreviata,"(C.Agardh) Lange-Bertalot, 1980",Chromista,Ochrophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae,Rhoicosphenia,,abbreviata,
Rissoa membranacea,141359,exact,Rissoa membranacea,"(J. Adams, 1800)",accepted,141359,Rissoa membranacea,"(J. Adams, 1800)",Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Rissoa,,membranacea,
Romeria,177595,exact,Romeria,"Koczwara, 1932",accepted,177595,Romeria,"Koczwara, 1932",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Romeria,,,
Rotifera,14260,exact,Rotifera,"Cuvier, 1817",accepted,14260,Rotifera,"Cuvier, 1817",Animalia,Rotifera,,,,,,,
Saduria entomon,119034,exact,Saduria entomon,"(Linnaeus, 1758)",accepted,119034,Saduria entomon,"(Linnaeus, 1758)",Animalia,Arthropoda,Malacostraca,Isopoda,Chaetiliidae,Saduria,,entomon,
Sapphirina,128722,exact,Sapphirina,"Thompson J., 1829",accepted,128722,Sapphirina,"Thompson J., 1829",Animalia,Arthropoda,Hexanauplia,Cyclopoida,Sapphirinidae,Sapphirina,,,
Sarsia tubulosa,117491,exact,Sarsia tubulosa,"(M. Sars, 1835)",accepted,117491,Sarsia tubulosa,"(M. Sars, 1835)",Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Sarsia,,tubulosa,
Scenedesmaceae,160541,exact,Scenedesmaceae,"Oltmanns, 1904",accepted,160541,Scenedesmaceae,"Oltmanns, 1904",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,,,,
Scenedesmus,160602,exact,Scenedesmus,"Meyen, 1829",accepted,160602,Scenedesmus,"Meyen, 1829",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,,,
Scenedesmus acuminatus,162928,exact,Scenedesmus acuminatus,"(Lagerheim) Chodat, 1902",unaccepted,623576,Acutodesmus acuminatus,"(Lagerheim) Tsarenko, 2001",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,,acuminatus,
Scenedesmus bicaudatus,572077,exact,Scenedesmus bicaudatus,"Dedusenko, 1925",unaccepted,838103,Desmodesmus bicaudatus,"(Dedusenko) P.M.Tsarenko, 2000",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,,bicaudatus,
Scenedesmus ellipticus,163125,exact,Scenedesmus ellipticus,"Corda, 1835",accepted,163125,Scenedesmus ellipticus,"Corda, 1835",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,,ellipticus,
Scenedesmus obtusus,608635,exact,Scenedesmus obtusus,"Meyen, 1829",accepted,608635,Scenedesmus obtusus,"Meyen, 1829",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,,obtusus,
Scoloplos,129425,exact,Scoloplos,"Blainville, 1828",accepted,129425,Scoloplos,"Blainville, 1828",Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos,,,
Scrippsiella,109545,exact,Scrippsiella,"Balech ex A.R.Loeblich III, 1965",accepted,109545,Scrippsiella,"Balech ex A.R.Loeblich III, 1965",Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,,,
Scrippsiella hangoei,233093,exact,Scrippsiella hangoei,"(J.Schiller) J.Larsen, 1995",accepted,233093,Scrippsiella hangoei,"(J.Schiller) J.Larsen, 1995",Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,,hangoei,
Scrippsiella trochoidea,110172,exact,Scrippsiella trochoidea,"(Stein) Loeblich III, 1976",accepted,110172,Scrippsiella trochoidea,"(Stein) Loeblich III, 1976",Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,,trochoidea,
Selenastrum gracile,579767,exact,Selenastrum gracile,"Reinsch, 1866",accepted,579767,Selenastrum gracile,"Reinsch, 1866",Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Selenastrum,,gracile,
Semibalanus balanoides,106210,exact,Semibalanus balanoides,"(Linnaeus, 1767)",accepted,106210,Semibalanus balanoides,"(Linnaeus, 1767)",Animalia,Arthropoda,Hexanauplia,Sessilia,Archaeobalanidae,Semibalanus,,balanoides,
Serranus scriba,127043,exact,Serranus scriba,"(Linnaeus, 1758)",accepted,127043,Serranus scriba,"(Linnaeus, 1758)",Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Serranus,,scriba,
Sertularia cupressina,117913,exact,Sertularia cupressina,"Linnaeus, 1758",accepted,117913,Sertularia cupressina,"Linnaeus, 1758",Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Sertularia,,cupressina,
Sida,410028,exact,Sida,"Straus, 1820",accepted,410028,Sida,"Straus, 1820",Animalia,Arthropoda,Branchiopoda,Ctenopoda,Sididae,Sida,,,
Simocephalus,148380,exact,Simocephalus,"Schoedler, 1858",accepted,148380,Simocephalus,"Schoedler, 1858",Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Simocephalus,,,
Siphonophora,892593,exact,Siphonophora,"Brandt, 1837",accepted,892593,Siphonophora,"Brandt, 1837",Animalia,Arthropoda,Diplopoda,Siphonophorida,Siphonophoridae,Siphonophora,,,
Skeletonema costatum,149074,exact,Skeletonema costatum,"(Greville) Cleve, 1873",accepted,149074,Skeletonema costatum,"(Greville) Cleve, 1873",Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,,costatum,
Skeletonema marinoi,376667,exact,Skeletonema marinoi,"Sarno & Zingone, 2005",uncertain,376667,Skeletonema marinoi,"Sarno & Zingone, 2005",Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,,marinoi,
Skeletonema potamos,163390,exact,Skeletonema potamos,"(C.I.Weber) Hasle, 1976",alternate representation,163392,Microsiphona potamos,"C.I.Weber, 1970",Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,,potamos,
Snowella,146644,exact,Snowella,"Elenkin, 1938",accepted,146644,Snowella,"Elenkin, 1938",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Snowella,,,
Snowella atomus,177464,exact,Snowella atomus,"Komárek & Hindák, 1988",accepted,177464,Snowella atomus,"Komárek & Hindák, 1988",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Snowella,,atomus,
Snowella lacustris,146645,exact,Snowella lacustris,"(Chodat) Komárek & Hindák, 1988",accepted,146645,Snowella lacustris,"(Chodat) Komárek & Hindák, 1988",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Snowella,,lacustris,
Snowella litoralis,177473,exact,Snowella litoralis,"(Häyrén) Komárek & Hindák, 1988",accepted,177473,Snowella litoralis,"(Häyrén) Komárek & Hindák, 1988",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Snowella,,litoralis,
Snowella septentrionalis,177480,exact,Snowella septentrionalis,"Komárek & Hindák, 1988",accepted,177480,Snowella septentrionalis,"Komárek & Hindák, 1988",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Snowella,,septentrionalis,
Sparisoma cretense,231441,exact,Sparisoma cretense,"(Linnaeus, 1758)",accepted,231441,Sparisoma cretense,"(Linnaeus, 1758)",Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Sparisoma,,cretense,
Sphaerocystis schroeteri,248170,exact,Sphaerocystis schroeteri,"Chodat, 1897",accepted,248170,Sphaerocystis schroeteri,"Chodat, 1897",Plantae,Chlorophyta,Chlorophyceae,Tetrasporales,Sphaerocystidaceae,Sphaerocystis,,schroeteri,
Sphoeroides marmoratus,127416,exact,Sphoeroides marmoratus,"(Lowe, 1838)",accepted,127416,Sphoeroides marmoratus,"(Lowe, 1838)",Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Sphoeroides,,marmoratus,
Spio filicornis,131183,exact,Spio filicornis,"(Müller, 1776)",accepted,131183,Spio filicornis,"(Müller, 1776)",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio,,filicornis,
Spirogyra,577679,exact,Spirogyra,"Link, 1820",accepted,577679,Spirogyra,"Link, 1820",Plantae,Charophyta,Conjugatophyceae,Zygnematales,Zygnemataceae,Spirogyra,,,
Spirulina,146541,exact,Spirulina,"Turpin ex Gomont, 1892",accepted,146541,Spirulina,"Turpin ex Gomont, 1892",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Spirulina,,,
Spirulina subsalsa,660753,exact,Spirulina subsalsa,"Oersted ex Gomont, 1892",accepted,660753,Spirulina subsalsa,"Oersted ex Gomont, 1892",Bacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae,Spirulina,,subsalsa,
Spisula subtruncata,140302,exact,Spisula subtruncata,"(da Costa, 1778)",accepted,140302,Spisula subtruncata,"(da Costa, 1778)",Animalia,Mollusca,Bivalvia,,Mactridae,Spisula,,subtruncata,
Spongilla alba,167226,exact,Spongilla alba,"Carter, 1849",accepted,167226,Spongilla alba,"Carter, 1849",Animalia,Porifera,Demospongiae,Spongillida,Spongillidae,Spongilla,,alba,
Staurastrum,162728,exact,Staurastrum,"Meyen ex Ralfs, 1848",accepted,162728,Staurastrum,"Meyen ex Ralfs, 1848",Plantae,Charophyta,Conjugatophyceae,Zygnematales,Desmidiaceae,Staurastrum,,,
Staurastrum pingue,836861,exact,Staurastrum pingue,"(Teiling) Coesel & Meesters, 2013",accepted,836861,Staurastrum pingue,"(Teiling) Coesel & Meesters, 2013",Plantae,Charophyta,Conjugatophyceae,Zygnematales,Desmidiaceae,Staurastrum,,pingue,
Staurodesmus,577680,exact,Staurodesmus,"Teiling, 1948",accepted,577680,Staurodesmus,"Teiling, 1948",Plantae,Charophyta,Conjugatophyceae,Zygnematales,Desmidiaceae,Staurodesmus,,,
Stauroneis gracillima,610753,exact,Stauroneis gracillima,"Hustedt, 1943",uncertain,610753,Stauroneis gracillima,"Hustedt, 1943",Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Stauroneis,,gracillima,
Staurosira construens var. Venter,175929,exact,Staurosira construens,"Ehrenberg, 1843",unaccepted,149364,Fragilaria construens,"(Ehrenberg) Grunow, 1862",Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Staurosira,,construens,
Stephanodiscaceae,148994,exact,Stephanodiscaceae,"Glezer & Makarova, 1986",accepted,148994,Stephanodiscaceae,"Glezer & Makarova, 1986",Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,,,,
